action_agreement,ci95_high,ci95_low,claim_note,controller,max_regret,metric,n_seeds,network,panel,program_complexity,realized_total_regret,route_confidence,route_decision,scenario_tag,selected_atoms,source_artifact,source_key,source_rules_path,table_id,value
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_mean_oracle_regret,,,supply_binding_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[5].dual_mean_oracle_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_mean_oracle_regret,,,supply_binding_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[5].pressure_mean_oracle_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,mean_oracle_regret_delta_pressure_minus_dual,,,supply_binding_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[5].mean_oracle_regret_delta_pressure_minus_dual,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_worst_case_regret,,,supply_binding_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[5].dual_worst_case_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_worst_case_regret,,,supply_binding_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[5].pressure_worst_case_regret,,T2_static_kill_gate,0
,67.08571429,67.08571429,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,,avg_travel_time,1,arterial,arterial_bottleneck_failure_mode/capacity_aware_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].avg_travel_time,,T3_closed_loop,67.08571429
,101.8565217,101.8565217,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,,penalized_avg_travel_time,1,arterial,arterial_bottleneck_failure_mode/capacity_aware_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].penalized_avg_travel_time,,T3_closed_loop,101.8565217
,0.7989130435,0.7989130435,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,,completion_rate,1,arterial,arterial_bottleneck_failure_mode/capacity_aware_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].completion_rate,,T3_closed_loop,0.7989130435
,8208,8208,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,,total_delay,1,arterial,arterial_bottleneck_failure_mode/capacity_aware_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].total_delay,,T3_closed_loop,8208
,34.2,34.2,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,,mean_queue,1,arterial,arterial_bottleneck_failure_mode/capacity_aware_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].mean_queue,,T3_closed_loop,34.2
,25,25,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,,max_queue,1,arterial,arterial_bottleneck_failure_mode/capacity_aware_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].max_queue,,T3_closed_loop,25
,0,0,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,,spillback_count,1,arterial,arterial_bottleneck_failure_mode/capacity_aware_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].spillback_count,,T3_closed_loop,0
,0,0,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,,blocking_count,1,arterial,arterial_bottleneck_failure_mode/capacity_aware_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].blocking_count,,T3_closed_loop,0
,56,56,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,,switching_count,1,arterial,arterial_bottleneck_failure_mode/capacity_aware_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].switching_count,,T3_closed_loop,56
,0.005218907958,0.005218907958,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,capacity_aware_pressure,,controller_runtime_sec,1,arterial,arterial_bottleneck_failure_mode/capacity_aware_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[0].controller_runtime_sec,,T3_closed_loop,0.005218907958
,67.08571429,67.08571429,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,,avg_travel_time,1,arterial,arterial_bottleneck_failure_mode/max_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].avg_travel_time,,T3_closed_loop,67.08571429
,101.8565217,101.8565217,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,,penalized_avg_travel_time,1,arterial,arterial_bottleneck_failure_mode/max_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].penalized_avg_travel_time,,T3_closed_loop,101.8565217
,0.7989130435,0.7989130435,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,,completion_rate,1,arterial,arterial_bottleneck_failure_mode/max_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].completion_rate,,T3_closed_loop,0.7989130435
,8208,8208,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,,total_delay,1,arterial,arterial_bottleneck_failure_mode/max_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].total_delay,,T3_closed_loop,8208
,34.2,34.2,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,,mean_queue,1,arterial,arterial_bottleneck_failure_mode/max_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].mean_queue,,T3_closed_loop,34.2
,25,25,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,,max_queue,1,arterial,arterial_bottleneck_failure_mode/max_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].max_queue,,T3_closed_loop,25
,0,0,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,,spillback_count,1,arterial,arterial_bottleneck_failure_mode/max_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].spillback_count,,T3_closed_loop,0
,0,0,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,,blocking_count,1,arterial,arterial_bottleneck_failure_mode/max_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].blocking_count,,T3_closed_loop,0
,56,56,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,max_pressure,,switching_count,1,arterial,arterial_bottleneck_failure_mode/max_pressure,,,,pressure-equivalent,arterial_bottleneck_failure_mode,,experiments/dual_sensitivity/block4_closed_loop_suite.json,aggregates[1].switching_count,,T3_closed_loop,56
